"Date","Bitfinex Net Flows","Binance Net Flows","Adjusted Transaction Volume (Native Units)","Average Transfer Value (Native Units)","Median Transfer Value","Median Transfer Value (Native Units)","Transactions per Second Count","Telegram Users"
"2017-12-10","-28235131.631523393","-4649676.673200681","3477115.85406121","11.7275739858494","53.22496113726548","0.119639525","8.29369212962963",""
"2017-12-09","-8151002.885397652","7224500.935190221","3461942.74125708","11.7872551876626","59.31747223915554","0.122795202","8.18545138888889",""
"2017-12-08","-75731478.4037803","-1891519.7161603265","4769884.18283116","15.0938051827976","92.5474056047567","0.199914908966204","8.87049768518519",""
"2017-12-07","226894314.34171087","-14009891.874303376","6512432.55080996","22.5625395192892","180.5955300185216","0.41828745","7.62810185185185",""
"2017-12-06","33385311.226635568","-10529075.551443951","6083534.45425362","21.5367057226462","314.81943156779647","0.725","9.16372685185185",""
"2017-12-05","79638814.81021987","8448109.416549213","4851738.30430852","19.298809724108","99.08216595676208","0.2163004","8.021875",""
"2017-12-04","2450977.9663097127","-2835025.188546396","5313648.14138981","38.4442141503275","110.70212364167422","0.237100068680556","8.1230787037037",""
"2017-12-03","2440106.0533672455","43102558.992135115","4461658.98037662","41.7560036560551","92.877214552893","0.2","8.03018518518519",""
"2017-12-02","-12769242.732109416","66750.92184940529","4370236.3248686","50.7439510646128","96.788866801077","0.210475966717644","7.26603009259259",""
"2017-12-01","-21347792.913511742","-1976340.0358401616","4482844.26254267","49.8058625228424","120.01242040327305","0.26","7.20740740740741",""
"2017-11-30","-20724711.713520024","5134372.277308322","5315096.8266928","55.3789847947406","187.3782493160371","0.42725932","7.58630787037037",""
"2017-11-29","23182771.780494347","-5779435.429800061","6456372.16374231","57.1478560498418","214.5233452659265","0.5","7.6803125",""
"2017-11-28","10266945.9934049","4369369.0254249275","5735941.61444679","55.3660746119792","229.28289216540043","0.49","7.39570601851852",""
"2017-11-27","-16621590.7471916","-3656416.0764080565","5150588.92113058","48.89128254624","200.68391082554055","0.42015","7.04508101851852",""
"2017-11-26","-16369345.753957802","3149850.9044068404","3596784.92925245","46.8431402799572","118.069493863238","0.25","6.27875",""
"2017-11-25","-14919966.433128448","-1216494.4820145275","4303660.08704327","49.049341618043","161.64814157791398","0.34628778","6.49497685185185",""
