"Date","Price (Close)","Price (Open)","Real Volume","Volatility","Active Addresses Count","Transaction Volume","Adjusted Transaction Volume","Transactions Count","Transactions per Second Count","Twitter Followers"
"2019-08-01","217.2791068488694","220.45589216673642","310090033.29030585","0.9757603768988548","269308","675875440.6493928","604639918.5239458","877643","10.15790509",""
"2018-08-01","419.80109416865776","432.00267347869","459634018.6218659","0.6536704196209412","374393","702092372.0085624","604561006.3501215","757758","8.77034722222222",""
"2020-02-27","227.571752518353","224.18417248291888","1377217380.8329968","0.9317390307864877","367385","737729435.7284739","601134329.2950617","714482","8.26946759",""
"2018-08-15","281.2865396117017","278.4736539776002","655309108.5843867","0.7310284483523781","328753","724798559.4039984","600876977.9372486","648565","7.50653935185185",""
"2018-08-10","331.6065155930079","363.4678067401271","415783257.7028718","0.6811022559387881","325203","675982670.8435858","600791374.7735163","613892","7.10523148148148",""
"2017-05-27","155.12100822176933","161.19882134369277","335459294.6923466","1.7321614957521703","79409","1987264666.4780147","599316226.4088392","149450","1.72974537037037",""
"2018-07-27","468.3696849848502","462.205947343224","378004713.3185242","0.6591093346463371","416595","687778873.1272973","598615452.2855005","788715","9.12864583333333",""
"2018-04-15","533.9562186711219","502.67964444775635","564189907.8811542","1.0500319064030628","302284","686223391.6312102","596155791.9663286","619985","7.17575231481482",""
"2019-06-10","247.73966461673095","231.51662185785173","689099366.4044232","1.0648310035082864","325166","695029303.0800142","595728878.6119801","963694","11.15386574",""
"2018-03-24","519.840614421299","544.2953393887934","396687641.0922997","0.7748057074223055","354616","683099411.4366497","595615839.1948321","613203","7.09725694444444",""
"2020-06-15","230.91859235084067","231.3821139401758","809818306.2813573","0.7174037390651236","442189","741988412.2350934","594000742.3266898","912281","10.55880787",""
"2017-11-04","299.9077291464772","304.0572660198358","186906754.8654577","0.6172070480350765","174924","2605653660.828962","593952070.254175","398758","4.61525462962963",""
"2019-06-17","273.94849266015484","268.49890436757704","781634094.6672816","0.7907160413296249","338539","695300960.6005278","592821377.5903729","944094","10.92701389",""
"2018-06-16","496.81428212934236","487.1254700572884","325462301.1935727","0.9926824953352186","310364","663046032.8365043","592115585.5050911","639775","7.40480324074074",""
"2020-05-29","220.55897138573025","222.03793774136295","482285395.1676923","0.6989844729092358","448382","732081825.5674694","591964775.8242096","949269","10.98690972",""
"2020-07-07","239.38999102439422","241.59411735387147","509387946.16478926","0.5060798119996315","548179","787864874.4314252","587174148.475934","1064506","12.3206713",""
"2018-07-08","486.0023526557651","485.74056388184937","308234523.0098366","0.8779167513415816","272797","645629555.1079298","586778672.6198814","631505","7.30908564814815",""
